ID,Group,Metric,Description,Gazetas,Semedo,Vieira,Category
1,Coesão Referencial,adj_arg_ovl,Quantidade média de referentes que se repetem nos pares de sentenças adjacentes do texto,3.29787,8.91667,3.7,I
2,Coesão Referencial,adj_cw_ovl,Quantidade média de palavras de conteúdo que se repetem nos pares de sentenças adjacentes do texto,2.87234,5.29167,1.75,I
3,Coesão Referencial,adj_stem_ovl,Quantidade média de radicais de palavras de conteúdo que se repetem nos pares de sentenças adjacentes do texto,3.80851,7.625,2.625,I
4,Coesão Referencial,adjacent_refs,Média das proporções  de candidatos a referentes na sentença anterior em relação aos pronomes pessoais do caso reto nas sentenças,0.78723,3.16667,1.3,S
5,Coesão Referencial,anaphoric_refs,Média das proporções  de candidatos a referentes nas 5 sentenças anteriores em relação aos pronomes anafóricos das sentenças,4.59574,12,5.1,S
6,Coesão Referencial,arg_ovl,Quantidade média de referentes que se repetem nos pares de sentenças do texto,3.68972,7.86333,2.46341,I
7,Coesão Referencial,stem_ovl,Quantidade média de radicais de palavras de conteúdo que se repetem nos pares de sentenças do texto,3.80851,5.36,2.08293,I
8,Coesão Semântica,cross_entropy,Média da entropia cruzadas das sentenças do texto,0.7527,0.68035,0.71168,S
9,Coesão Semântica,lsa_adj_mean,Média de similaridade entre pares de sentenças adjacentes no texto,0.83778,0.82681,0.89362,I
10,Coesão Semântica,lsa_adj_std,Desvio padrão de similaridade entre pares de sentenças adjacentes no texto,0.09547,0.20038,0.08988,X
11,Coesão Semântica,lsa_all_mean,Média de similaridade entre todos os pares de sentenças no texto,0.83162,0.79615,0.86818,I
12,Coesão Semântica,lsa_all_std,Desvio padrão de similaridade entre todos os pares possíveis de sentenças do texto,0,0.27008,0.06447,X
13,Coesão Semântica,lsa_givenness_mean,Média do *givenness* da cada sentença do texto a partir da segunda,0.90529,0.88146,0.92335,I
14,Coesão Semântica,lsa_givenness_std,Desvio padrão do *givenness* da cada sentença do texto a partir da segunda,0.08988,0.16647,0.07751,X
15,Coesão Semântica,lsa_paragraph_mean,Média de similaridade entre pares de parágrafos adjacentes no texto,0.83778,0.91839,0.93835,I
16,Coesão Semântica,lsa_paragraph_std,Desvio padrão entre parágrafos adjacentes no texto,0.09547,0.11744,0.08075,X
17,Coesão Semântica,lsa_span_mean,Média do *span* da cada sentença do texto a partir da segunda,0.94363,0.90683,0.9518,I
18,Coesão Semântica,lsa_span_std,Desvio padrão do span da cada sentença do texto a partir da segunda,0.072,0.14059,0.06979,X
19,Complexidade Sintática,adjunct_per_clause,Quantidade média de adjuntos adverbiais por oração do texto,0.56471,0.82085,0.96774,S
20,Complexidade Sintática,adverbs_before_main_verb_ratio,Proporção de orações com advérbio antes do verbo principal em relação à quantidade de orações do texto,0.24314,0.30945,0.33065,S
21,Complexidade Sintática,apposition_per_clause,Quantidade média de apostos por oração do texto,0.01569,0.02932,0.04435,S
22,Complexidade Sintática,clauses_per_sentence,Quantidade média de orações por sentença,4.18033,4.09333,3.64706,S
23,Complexidade Sintática,coordinate_conjunctions_per_clauses,Proporção de conjunções coordenativas em relação a todas as orações do texto,0.35294,0.48534,0.47581,S
24,Complexidade Sintática,dep_distance,Distância na árvore de dependências,150.89583,567.24,187.80488,S
25,Complexidade Sintática,frazier,Fórmula de Complexidade Sintática de Frazier,8.29167,8.38462,8.56098,S
26,Complexidade Sintática,infinite_subordinate_clauses,Proporção de orações subordinadas reduzidas pela quantidade de orações do texto,0.16078,0.22476,0.19758,S
27,Complexidade Sintática,non_svo_ratio,Proporção de orações que não estão no formato SVO (sujeito-verbo-objeto) em relação a todas orações do texto,0.35294,0.38436,0.41129,S
28,Complexidade Sintática,passive_ratio,Proporção de orações na voz passiva analítica em relação à quantidade de orações do texto,0.01569,0.01954,0.01613,S
29,Complexidade Sintática,postponed_subject_ratio,Proporção de sujeitos pospostos em relação a todos os sujeitos do texto,0.24242,0.16092,0.24823,S
30,Complexidade Sintática,ratio_coordinate_conjunctions,Proporção de conjunções coordenativas em relação a todas as conjunções do texto,0.78261,0.69302,0.68208,I
31,Complexidade Sintática,ratio_subordinate_conjunctions,Proporção de conjunções subordinativas em relação a todas conjunções do texto,0.21739,0.30698,0.31792,S
32,Complexidade Sintática,relative_clauses,Proporção de orações relativas em relação à quantidade de orações do texto,0.21176,0.19544,0.23387,S
33,Complexidade Sintática,sentences_with_five_clauses,Proporção de sentenças com 5 orações em relação a todas as sentenças do texto,0.13115,0.09333,0.10294,S
34,Complexidade Sintática,sentences_with_four_clauses,Proporção de sentenças com 4 orações em relação a todas as sentenças do texto,0.08197,0.06667,0.14706,S
35,Complexidade Sintática,sentences_with_one_clause,Proporção de sentenças com 1 oração em relação a todas as sentenças do texto,0.13115,0.10667,0.17647,I
36,Complexidade Sintática,sentences_with_seven_more_clauses,Proporção de sentenças com 7 ou mais orações em relação a todas as sentenças do texto,0.19672,0.24,0.11765,S
37,Complexidade Sintática,sentences_with_six_clauses,Proporção de sentenças com 6 orações em relação a todas as sentenças do texto,0.04918,0.06667,0.08824,S
38,Complexidade Sintática,sentences_with_three_clauses,Proporção de sentenças com 3 orações em relação a todas as sentenças do texto,0.16393,0.13333,0.11765,S
39,Complexidade Sintática,sentences_with_two_clauses,Proporção de sentenças com 2 orações em relação a todas as sentenças do texto,0.2459,0.17333,0.17647,S
40,Complexidade Sintática,sentences_with_zero_clause,Proporção de sentenças sem verbos em relação a todas as sentenças do texto,0,0.12,0.07353,X
41,Complexidade Sintática,std_noun_phrase,Desvio-padrão do tamanho dos sintagmas nominais do texto,8.5437,26.93256,11.30445,X
42,Complexidade Sintática,subordinate_clauses,Proporção de orações subordinadas pela quantidade de orações do texto,0.47059,0.63518,0.65323,S
43,Complexidade Sintática,temporal_adjunct_ratio,Proporção de adjuntos adverbiais de tempo em relação a todos os adjuntos adverbiais do texto,0.09249,0.04262,0.04851,S
44,Complexidade Sintática,words_before_main_verb,Quantidade Média de palavras antes dos verbos principais das orações principais das sentenças,3.95082,9.81333,8.23529,S
45,Complexidade Sintática,yngve,Fórmula de Complexidade Sintática de Yngve,3.28221,4.27813,3.92676,S
46,Conectivos,add_neg_conn_ratio,Proporção de conectivos  aditivos negativos em relação à quantidade de palavras do texto,0.00813,0.00744,0.00499,I
47,Conectivos,add_pos_conn_ratio,Proporção de conectivos  aditivos positivos em relação à quantidade de palavras do texto,0.0477,0.06101,0.06877,I
48,Conectivos,and_ratio,Proporção do operador lógico E em relação à quantidade de palavras do texto,0.04444,0.05308,0.05602,S
49,Conectivos,cau_neg_conn_ratio,Proporção de conectivos  causais negativos em relação à quantidade de palavras do texto,0,0.00099,0,I
50,Conectivos,cau_pos_conn_ratio,Proporção de conectivos  causais positivos em relação à quantidade de palavras do texto,0.03577,0.06002,0.04603,I
51,Conectivos,conn_ratio,Proporção de Conectivos em relação à quantidade de palavras do texto,0.0981,0.1379,0.12202,I
